Date,MSFT,AMZN,JNJ,JPM,XOM,BAC,WMT,WFC,V,PG,BUD,T,CVX,UNH,PFE,RHHBY,CHL,HD,TSM,VZ,ORCL,C,NVDA,NVS,AAPL,INTC,NFLX,SONC,MO,GOOGL
1/5/10,0.000323046,0.005899985,-0.011595534,0.019369612,0.003904735,0.032504573,-0.009957457,0.027452566,-0.01145887,0.000327092,-0.011965099,-0.004898544,0.00708327,-0.001585966,-0.014263049,-0.015034037,0.001910773,0.0073249,-0.004317997,0.001803015,-0.001207417,0.038235029,0.014602469,-0.000950357,0.001729015,-0.000478971,-0.036836126,-0.003887175,0.000505199,-0.004403659
1/6/10,-0.006137107,-0.018115688,0.008133836,0.005494555,0.008642826,0.011728532,-0.002235127,0.001424892,-0.013428348,-0.004743244,-0.00624392,-0.014632644,0.000125532,0.009847746,-0.00321576,0.008787831,0.004873955,-0.003462568,-0.003469168,-0.027823586,-0.014504411,0.031161807,0.006396888,-0.003614983,-0.015906361,-0.003353961,0.035138747,-0.130731763,0.014646376,-0.025208709
1/7/10,-0.010399823,-0.017013233,-0.007137245,0.019808602,-0.003141938,0.032946956,0.000560138,0.036285932,0.009306735,-0.00542298,-0.024371779,-0.011228025,-0.003767,0.038376508,-0.003763324,-0.012150298,-0.001264968,0.011813841,-0.033072235,-0.005952307,-0.003270555,0.002746913,-0.019597777,-0.00878359,-0.001848664,-0.009615695,-0.01725437,-0.025813768,-0.001493269,-0.02327955
1/8/10,0.006896599,0.027076954,0.003438106,-0.002455413,-0.004011475,-0.008860309,-0.005037351,-0.009268786,0.002766364,-0.001322198,-0.005659498,-0.007325908,0.001764394,-0.009391065,0.008095052,0.013924525,0.013724394,-0.004807802,-0.000900109,0.000630016,0.012304974,-0.016438118,0.002160667,0.008090908,0.006648476,0.011165307,0.01717565,-0.009216493,0.002492605,0.013331072
1/11/10,-0.012719929,-0.024041386,0.000155717,-0.003357479,0.011219875,0.008939516,0.016500997,-0.002079048,-0.002873982,-0.003970896,0.009028435,-0.004796968,0.017742339,0.006727931,0.008029824,0.011215344,0.01312247,-0.028295097,-0.005405277,0.004094859,0.000405396,0.011141594,-0.01401592,0.0179628,-0.008821555,0.005761134,-0.001313321,-0.008139685,0.007458918,-0.001511543
1/12/10,-0.00660747,-0.022715064,0.005294146,-0.023355239,-0.004978755,-0.033667922,0.009592512,-0.025000035,-0.004725851,0.011461979,-0.004084649,-0.000370703,-0.005810834,-0.026427712,-0.003186507,-0.014260051,0.007606694,-0.006392134,-0.030797264,0.00094091,-0.005265431,-0.030302578,-0.033898199,-0.011075465,-0.011375241,-0.016229341,-0.016156283,0.010551283,-0.005429702,-0.017684026
1/13/10,0.009311837,0.013820204,0.00635066,0.017475649,-0.004002798,0.015892348,0.005116017,0.017806367,0.009265828,0.010346562,0.011523461,-0.011869153,-0.007586361,0.015288669,0.023441871,0.010562729,0.018159515,0.005360805,0.026168278,-0.001253435,0.009772261,-0.005681804,0.013582427,0.006454032,0.014105543,0.01698213,0.030360777,0.003480162,0.004466695,-0.005741053
1/14/10,0.020098851,-0.01363181,0.002001248,0.009943271,0.000143237,0.01203336,-0.014542985,0.014345635,0.003442419,0.000975329,0.001737616,-0.01689194,-0.003132821,0.023970497,0.008849562,0.019768172,0.012825625,0.006043522,-0.010018428,-0.020395307,0.023838279,0.00285679,-0.015634011,0.011882255,-0.005791466,0.024809037,-0.055040681,0.010404529,0.006916817,0.004701142
1/15/10,-0.003230065,-0.001648991,-0.00829523,-0.022600195,-0.008179967,-0.033293336,-0.009776752,-0.031390171,-0.01486748,-0.012341666,-0.026792563,-0.015272791,-0.004022477,0.012905418,0.005675932,0.001782492,-0.01068441,0.009540792,-0.024838795,-0.020499912,-0.003946559,-0.025641016,-0.029494949,-0.014352329,-0.016712057,-0.031657244,-0.000784428,0.006865133,0.001962744,-0.016699168
1/19/10,0.00777718,0.003696728,0.012236681,-0.00915726,0.002315035,0.003689974,0.006519919,0.007122769,0.019851399,0.014797722,0.000792155,0.015897455,0.005679811,0.040888827,0.026166993,0.004226002,0.009799797,0.010850197,0.03396235,0.021256154,0.003565888,0.035087706,0.018702397,0.015506928,0.044238115,0.012019316,0.004906732,0.018181623,-0.001958899,0.013137925
